,customer,title,stars,review,date
71,Coastaldell,Some audio books should be included in Amazon Prime,1.0,As part of my decision to subscribe to Amazon Prime I had noticed free audio books available. Now I come to try one I find they in fact are not free ! The wording is simply a ruse to suck people into an audio book subscription. Why is Amazon resorting to underhand tactics to try and get more business ? It seems Amazon gain the trust of customers with good quality offerings that are properly explained and then pop in the occasional lemon leaving a good proportion of the won over customers thinking twice about Amazon ethics. From now on I've got the extra task of reading carefully between the lines of Amazon advertising to winkle out any underhanded behaviour. They should at least have included some audio books within the Prime subscription.,23 August 2018
72,Pusscat,Vanishing books,1.0,"My library just vanished, no explanation . Difficult and obscure to operate. Books are expensive just to read once then gone.  Amazon should drop this junk it's not doing them any good at all.  Waste of money and time.",12 September 2018
73,cluelessgoon,I wanted to love Audible but a few things stopped me,3.0,"I wanted to love Audible but a few things stopped me.  Really long download times on mobile devices were a problem both with the Audible app and the Kindle audio book (I'm making some assumptions here that it's the same as Audible).  You must be signed into the right marketplace to get mobile content, the default was different to my purchasing region for some reason and the setting to change marketplace is well enough hidden to need to google it.  Lastly, I couldn't use my gift credit to buy audio books for kindle but that's not clear until you get some failed transactions.  As for the actual quality of the books they are really good, but the reader does change the experience considerably and you can be lucky or unlucky here.",2 August 2016
74,Christopher Sharpe,and lots of bad reviews about how difficult to cancel,1.0,"Too expensive, and lots of bad reviews about how difficult to cancel.  don't need the stress, thanks anyway x",9 January 2017
75,J Sunter,EXCELLENT,4.0,This has been a lifeline for me after losing most of my sight. The fact that I could return the books that I didn't like is also very good. It would have been 5 stars if it gave two books for the monthly fee .,23 May 2017
76,Ekprima,Amazon is having a laugh,1.0,"£7.99 per month for only one book? I will gladly pay my local library that for unlimited access to audio books, videos etc. Because they are currently free in the library and that is where I get all my audiobooks. This Amazon deal is a complete and total rip off.",16 May 2017
77,Jane,Don't bother with audible books.  Hopeless.,1.0,"This must be the poorest and worst thought out app ever.  Try getting an unusual smartphone, say an iphone6 and try buying an audible book on it.  Or download the audible app and then try that too.  Amazon, when you review your customer experiences you should put this down as a failure.  Crown is slipping.",27 March 2017
78,It is I,For £7.,1.0,For £7.99 a month I can get more than 1 book a month from The Works on the high street,29 March 2017
79,Edward Carrick,"Oh Amazon what have you done, I have often ...",1.0,"Oh Amazon what have you done, I have often thought about using this kind of service when on long journeys, however after reading the many feedbacks from Amazon members I will definitely not be taken on this service.I believe that you have by offering this offer upset many of your loyal customers.",26 June 2017
80,Keiradior,Scam I never wanted this and you took £7.,1.0,Scam  I never wanted this  and you took £7.99  I want this to be deleted  I nevet accepted,3 May 2016
81,paulpenni,Greedy?,1.0,"Either Audible or Amazon must be.  Surely nobody is stupid enough to pay do much for so little?. Go on, subscribe - it doesn't matter if I think you're a fool....",27 November 2016
82,Cecile P34,The  audio experience,2.0,I really enjoyed  the audio  book it made a change to lie in bed and listen but I think it's too expensive.I gave a 2 rating  only because I find the monthly price too  much. I could only afford as an occasional  luxury ',24 October 2016
83,Elaine Fryatt,I do like like listening to audio books and have been a ...,3.0,"I do like like listening to audio books and have been a member for quite a time.  Sadly,  it is expensive.  I have now cancelled my subscription for the time being.",23 May 2017
84,Galant cadence,the Era of unlimited stream data services. Just One (1)book a month?,1.0,"I think 1 book a month it's quite expensive. If you consider that we are living in"" the Era of unlimited stream data services ""where countless services provide unlimited films, music, TV shows ect. Just 1 book a month at that price it's kind of actually absurd in the digital/stream age. they will struggle to sale this deal. Eventually they will have to find different alternatives or be redundant.",31 March 2016
85,Mr. Sunil C. Vishin,Just too expensive to bother,1.0,"Was about to start a free trial, but £7.99 a month for one book is silly. I pay a fiver monthly for all the music I can listen to (spotify) - audible needs to rethink... I think!",1 March 2016
86,Adam,Beware read the small print.,1.0,Very unappealing. Not worth the price.,25 April 2017
87,Geekazoid,Get Your Free Book - Then Cancel!,2.0,"Accounts should be free, but I've also argued Amazon's postage should be too, but hey ho. Just buy an audiobook as and when you need one. Some books are cheaper than the £7.99 asked for anyway.",28 December 2016
88,S E COOK,Has potential,2.0,A great idea. Pity it's spoiled by buying the download (which is almost the same price as the CD/cassette) on top of a monthly subscription fee. Better to buy the actual copy than the download.Otherwise I enjoyed my 1 free download during the 30 day free trial (1 free download lasted less than a day). When Amazon decide on which way to go (either download price or a subscription but not both) then I'll come back.,9 March 2016
89,OJ,Can't find the I.T.T book I ordered after app download,1.0,Amazon should consider scrapping this not well thought out audible subscription. I wouldn't even pay £7pm for prime when they still charge per video episode. Why then would I want to pay more for just one audible per month when this unpopular novelty is free at the  local library?,21 April 2016
90,Amazon Customer,NO CUSTOMER service once you've made payments,1.0,"After sevral days trying to contact Audible bookclub, i established there isnt any customer services department with REAL contact information e.g. email or telephone only pretyped list of issues & solutions many of which had incorrect information on..Id advise antone thinking of using Audible to reconsider & use a different audio book club, one where the company is happy to help/support you as well as JUST TAKE YOUR MONEY.Thanks",24 November 2020
91,eyeswideopen360,Nice but expensive.,1.0,"Unfortunately in agreement with most of the reviews regarding cost. Concept is brilliant, but not for the price.",16 March 2019
92,Amazon Customer,Wasn't fun at all to try out,1.0,"Wasn't fun at all to try out. I wanted to just download one ebook with the free trial membership, but of course the trial ends with continued membership, and I didn't even receive an email telling me my free trial was about to run out. I admit I am terrible with remembering these things, but there's so much desperation in this membership it's unreal. When I went on to cancel it, the first option that popped up said 'continue membership for 1 free credit'. Ummmm, no? I'm gonna continue to get cheap books from charity shops, thanks.",18 July 2016
93,E. Lancaster,I thought it was expensive and after reading other reviews ...,1.0,I thought it was expensive and after reading other reviews it appears I'm not the only one. You can buy a book for less than £7.99 and then donate to a charity when you have read it. You can actually get some goods books (quite up to date) from charity shops for 50p-£1. They also do some audio cd's as does your local library and that's free.,1 January 2017
94,Ll1967,Terrible customer services,1.0,Expensive product backed by truly banal customer services!  Complained that my book would not show up on my app and was told its a 'known service issue'.  'They we sorry for the inconvenience'.What they were not sorry for was failing to tell customers that they had an ongoing problem (they had know this for about a week) with books failing to appear in customers apps.  They only have one purpose - selling downloadable audio books and they knew it was glitching for a week but did not see a need to mention this. Astounding!,26 October 2018
95,H DOBBS,Misleading,1.0,I thought I was just on a 30 day free trial. I have just noticed that I have been charged for two months subscriptions. Disgusting how they have your banking details for the so called free trial and then exploit them!,19 July 2019
96,BookLover131,Audio Books Great for People who Travel,3.0,"Audio books are a great option for me as I travel a lot - unfortunately not all the books I wish to read are available as audio books, and sometimes the narrator is no easy to listen to.  I find it works for me right now.",28 May 2017
97,alibaba,Do you think I was born yesterday?,1.0,No thank you...there lots of free stuff online and I wont even take the free offer.  Nice try Amazon but try again.,9 March 2017
98,Lynn G,Rubbish,1.0,Really Expensive. Its not like the Kindle books were you can come across free books or deals. They are all very expensive and £7.99 is not a good deal for one book.,12 January 2017
99,Ann-Marie,FAR TOO EXPENSIVE.,1.0,I’ve decided to cancel my membership. The price of the audio books here are ridiculous. Most pointless membership account I’ve seen in a while. £7.99 a mouth and audio books (the ones I would like to download) costing between £16 & £20 each.,15 November 2017
100,Archie,Lol,1.0,"At first i thought Ok interesting. But then read further it is £8 per month. Jeez, worst deal of the year goes to Amazon!!",21 December 2016
101,Toni,Good for a commuter,4.0,I love books so Audible is great for hands free reading either in my car or just when I'm doing other stuff - usually crocheting. I agree that the membership price is a little steep but compared to buying the books one at a time it's a good deal! Audio books in general are exspensive.The only real complication is finding a good author with a good narrator... which can be tricky! And when audible books start at book 3 in a series and don't have the previous ones.Overall a great way for a book addict to never have to stop reading.,25 May 2017
102,David L,I wouldn't consider this at £7.99,1.0,Hey here's your free book!!! Just enter credit card details here and fingers crossed you forget/can't figure out how to cancel it. Boom £7.99 per month for one book. Are you crazy?!?I'll stick to librivox and podcasts. By the way audible we pay less for Netflix and Amazon prime with unlimited access to content!!!,5 June 2017
103,Tim,Dont bother,1.0,"Not a free trial, it 1 free audiobook each month for 3 months, also it's VERY convoluted to cancle membership. Have to go to the desktop site of audible . Com.Very sneaky.Borderline con.",11 June 2017
104,mrs marion ross,Overpriced,2.0,"Its far too expensive and needs to either be included for Prime members free of charge, or brought down to a much lower monthly cost. The number of books a month needs to be increased too, maybe to at least three books. Come on Amazon, many customers are telling you this, start listening.",27 November 2016
105,R. James,Useless to me since I need Audiobooks in MP3 format ...,1.0,Useless to me since I need Audiobooks in MP3 format so I can use them in the car via a memory stick. None of our car stereos can run the Audible App and there is no phone connection.When the BBC content was available from AudioGo or whatever it was called I used to buy a lot. Now I don't.,17 February 2016
106,Natalie,Terrible (from a number 1 Amazon prime customer),1.0,"Love audiobooks, signed up for Audiable thinking £7.99 a month unlimited audiobooks is a good price. After finishing my book in 3 days (I have along commutes) then spending over an hour trying to download another only to find out I have to wait a month is the most ridiculous thing I’ve ever heard. I then spent another hour making sure this was correct as it’s really not obvious ( and am blonde after all) I was so shocked, as a prime customer to. I would happily pay £7.99 a month on top for unlimited but for 1 book a month is daylight robbery.",25 April 2018
107,DDM,Beware buying an annual membership,3.0,"I have really loved audible for years and even bought a subscription for my daughter. However - since changing from monthly to annual membership I have been unable to take advantage of any of the members only offers (such as 2 for 1) because it keeps saying ""sorry, this offer is for members only"".I did report this issue a couple of months ago but still nothing has been done.So I am not greatly impressed with annual subscriptions or the help line.",1 March 2020
108,Knives,Too expensive for one book a month.,1.0,£7 a month for ONE audio book? Get with the times Amazon...,5 January 2017
109,Amazon Customer,CHARGED FOR A FREE TRIAL!!!!!,1.0,I SIGNED UP FOR THE 'FREE TRIAL' AND WAS CHARGED £7.99???????,8 February 2017
110,Richard F.,You've got it all wrong!,1.0,"Amazon, you've got the marketing totally wrong on this one. I was tempted but read the reviews which affirmed my thoughts that this is too expensive. As a prime customer this should be included",6 December 2016
111,A. J. Reeve,Unimpressed and disappointed,1.0,Too expensive; no easily visible instructions how to cancel.  Not a good deal.  I'm not even sure if you are able to keep the 'free' introductory book.  I will find out if ever I can sort out how to cancel my membership.,10 October 2016
112,M. Rawson,Free trial is a no-brainer,5.0,"I don't read many actual books myself but audio books really work for me. Now I'm hooked! I listen to stories almost every day now - on my commute, walking the dog, even going to the shops. Excellent service and if you're considering it then jump in with a free trial without hesitation!",3 April 2016
113,Joanne Coward,I really miss reading but have found that listening to audio books is a good substitute. Great for commuting to work and definit,5.0,"I used to be an avid reader but now my life is so busy, reading has taken a back seat. I really miss reading but have found that listening to audio books is a good substitute. Great for commuting to work and definitely eases the stress of being stuck in traffic!",22 May 2016
114,Amazon Customer,This is a very bad business model,1.0,£8 a month for 1 book ? When on Spotify for music you get access to all content ? This is a very bad business model. It should be £8 a month download up to 10 books a month or something like that !!!!!!!,26 February 2017
115,Pam Burfitt,"I can ""read"" far more books via Audible than I would ever have on paper",5.0,"Audible has enabled me to ""read"" far more books than I ever would have if they were in paper form.  While listening to a ""good read"" I am able to get on with my other favourite activities such as dog walking or sewing.  I am also very impressed with the fact that if I cannot get on with a particular book I can ""Return it"" and receive a Refund which can then be utilised towards another book. I listen to Audible on my Iphone whilst out and about.",21 May 2017
116,Nathan B,Far too expensive for what it is!,1.0,"£7.99 for one book a month?! If I listen to more than one book, I then have to pay more?! Not a chance!Prime is decent value, inc the delivery, Prime Music and Prime TV, but there's no way I'd pay the same for just one Audiobook a month!If I bought a book on my Kindle and it included an audio version for an extra £1 or so, then I may consider it!",5 July 2016
117,HColbs,Not good value,1.0,"No chance! Is one book a month a joke? Audio books are also ridiculously expensive... Amazon have this all wrong, I believe this should be unlimited. I would give 0 stars if I could.",4 March 2017
118,Kindle Customer,Be careful!! even though I have cancelled my ...,1.0,Be careful !! even though I have cancelled my free trial on time  I was charged on my credit card anyways!!,28 April 2017
119,Mr M J Power,Audible ... BAD,1.0,Too expensive!!Now can't delete my account!Don't try it. It'll stay forever!,24 June 2017
120,Amazon Customer,Disappointed you only get 1 book for the cost you ...,1.0,"Disappointed you only get 1 book for the cost you pay. I immediately cancelled my membership after finding that out, I'll search elsewhere for cheaper listening!",15 March 2017
121,Jon,"Shame, too much for too little",1.0,Shocked by the price. Books are not so expensive they have to rented!  The month of trial is probably not long enough for me to finish listening to the free book either.It's a shame; I heard this talked about on Radio 4 and would have liked to try it but as a supplement to actually reading: something we all need to do to stimulate specific parts of the brain.,23 October 2016
122,Darren Porter,Expensive waste of time,1.0,"I was offered a free audible trial for months and months then finally agreed to the trial only to be told I'm not entitled. Stuff it, I've just finished my first and last year as a Prime member.",23 December 2016
123,BB,Too expensive,1.0,Won't be using this offer as far too expensive for what it is,22 January 2017
124,Sbdisco,I have signed up for the membership since as it works fine on my phone,3.0,"Unfortunately, audible is very temperamental - it has hardly worked for me from my kindle and cuts out halfway through an audio book - I have had to download several times on my Kindle.  Nevertheless, I have signed up for the membership since as it works fine on my phone...for now.  Would say I would cancel it if it starts playing up on there.",29 September 2016
125,Victoria Das-Gupta,You can't spend your accrued credits when you cancel membership,1.0,"One star because I can't give zero (review system won't allow). As a family we often listen to audiobooks in the car. I have gone back to buying cd's. When I joined Audible and it was ok, but when I cancelled I has 2 months credit which I lost. I was told I could have them back if I rejoined. For me I won't rejoin because I feel unfairly treated. I feel I should have been allowed to spend the credits I had accrued during membership, I feel that would have been fair.",4 August 2016
126,Amazon Customer,Fantastic!,5.0,"Fantastic library of books availiable for a nominal monthly fee that is worth every penny. From the great classics to modern best sellers - audible has everything. Saves me going to the library to borrow stacks of CDs to rip at home to my mp3 player (which of course is an illegal copyright infringement). It only takes a couple of minutes to download to my pc or smart phone (Audible app) and I am ready to start listening. I use it mostly when travelling and the bookmark function in the app enables me to continue listening across multiple devices and platforms without any hassle. Also, the quality of narration is of a very high standard. I recommend the Audible monthly membership. It is a must have for any serious audio book lover.",23 May 2017
127,Albert Amazons,One Star,1.0,overpriced and the choice is too limited.,20 April 2017
128,Craig Taylor,Check you account,1.0,EVERYONE CHECK YOUR ACCOUNT :I did not sign up for audible and the went ahead and took money out my account and said I had signed up for it .. ehh I don’t read books or listen to them so why would I sign up . Had to phone customer service as this was going to be a monthly account,25 February 2020
129,Joe,Rip off!! Interesting concept but it's way over ...,1.0,Rip off!! Interesting concept but it's way over priced and it's full of repetitions ie. same contents with different titles! Unsubscribing!!,15 October 2016
130,KatyL,Absolutely appalled!!,1.0,Disgusted that you now lose your credits on cancellation after paying £7.99 a month for the subscription it’s an absolute rip off..especially if you have a few credits stored up. Never used to be the case when I first subscribed. Nothing less than theft!,14 July 2018
131,A.B.,Way too expensive,1.0,Unfortunately too expensive for me.,6 December 2016
132,Caza,Too expensive for a Pensioner,3.0,"Far too expensive for me, although I’d love it.",10 March 2019
133,scaniaman45,"ok but to expensive to use for audio books, ...",2.0,"ok  but to expensive to use for audio books,  £7.99 to join prime,  and another £7.99 to join audible,  forget it, and even then you may need to pay extra for some books,  joining our local library  (free)",7 April 2017
134,Million little reviews,Loving this,5.0,"Loving thisI listen while I walk my dogsAt first I had to keep rewinding because I think I've lost the ability to listenTo listen to Pride and Prejudice even though I knew the story very well, It felt like I was hearing it for the first timeThe narration with Jane Austin""s beautiful words was a such pleasure .I would highly recommend listening to all the old classics in this way",4 April 2016
135,V Briv,"not a ""deal""",1.0,"I love audiobooks, but this ""deal"" is nowhere close to being convenient, almost 8£ a month for a book and no discount or free access for Prime members is just ridiculous!!!",13 December 2016
136,tigrrrr,£££££££££,1.0,Too expensive for 1 book a month!,4 January 2017
137,M. KERRY,I prefer to listen to non fiction and audible is great for this,4.0,"Worth at least getting the free trial. I prefer to listen to non fiction and audible is great for this. You get to hear a sample so you know if you find the voice amiable on the ear,  and you can speed up/slow down the narration which is a really useful feature.The selection doesn't seem massive, but I've been looking for specific books. I have been using Audible as a learning aid, listening to history and philosophy on my phone as a work/leisure crossover. I've downloaded four so far, each between thirty and eighty hours in length which is great value for money (buy more tokens now feature works out at £6 a book instead of 8. I plan to use this more the majority of purchases.Audible is something that has fit nicely into my life and I feel like it's been a good use of money.Audible, you could make browsing your shop a bit more user-friendly!",16 May 2016
138,Peter W.,Pricey,1.0,This was something that I was very much looking into. But at £7.99 per month per book it's a little excessive. Especially if the book you are looking for isn't in the list of books. I think it's over priced so I think I will leave it. As a prime member I would have thought it would have been a better deal.,23 May 2017
139,a brown,Lost the plot,1.0,1 book a month not good price,26 February 2017
140,Amazon Customer,Pricey!!!,1.0,"Wow there’s me thinking I’ve just subscribed to audible assuming it’s unlimited (should have read it properly I know!!) I assumed this based in the price it advertised, this works out to £100 a year for only 12 books!! Thought amazon was fairer than that? The fact I’m prime and a prime now customer it doesn’t even offer any kind of discount. I put enough money into amazon already me thinks... I won’t be continuing with this membership.",25 March 2018
141,E,Be warned.,1.0,"NO VALUE for money. £7.99 for one book? It's a joke. Get the free trial, and make sure you remember to cancel it before the month is out. There's also limited choice available.",22 May 2016
142,Barry Burn,Not worth it,2.0,The cost is too high especially when kindle has text to speech at no extra cost. Amazon really need to look at their price structuring.,20 December 2016
143,I. Morgan,One Star,1.0,Too expensive,28 March 2017
144,genna peirce,This is far to expensive to justify 1 book per ...,1.0,This is far to expensive to justify 1 book per month! I would be more inclined to use amazon prime if this deal was included or offered as an alternative option in the amazon prime package.,7 March 2017
145,Kennedy09,Not worth the money for one book. Lots of ...,1.0,Not worth the money for one book. Lots of cheaper apps and places to buy audio books. Also free trial is only for new customers not for existing customer - as usual Amazon aren't interested in looking after their existing customers.,15 March 2017
146,Chris,Not enough value for money,1.0,Too expensive to consider as you only get one audio book a month,21 February 2017
147,Amazon Customer,It will be in the small print somewhere and I'm usually good at spotting that,1.0,"Thought it was free, ended up paying £7.99 / month for 9 months without realising it. Only found out recently when checking my credit card. It will be in the small print somewhere and I'm usually good at spotting that. Have contacted customer services about it and they have not replied. Is too expensive...£7.99 for one book is not good value for money in my view. If you don't mind paying for it, the system is easy to use and works.",12 January 2017
148,Paul Mac,and a thing asked if I'd like to listen to it,3.0,"I don't have a clue how I got involved with joining this audible thing. I purchased a dickens novel for a course I'm doing, and a thing asked if I'd like to listen to it. I pressed yes, it said it was £2.99 on top of the .99p for the book, on kindle so I did it. It was brilliantly read and I thoroughly enjoyed it. Particularly as I have trouble reading. This is brilliant ....but eight quid a month I did not know about ..I'm not paying that as well. I have been trying to buy another (but I cant work out how) until I saw this ..I had no idea I was entering a trial or committing to a monthly payment ..I'm out...",19 January 2016
149,Phil,Two Stars,2.0,Not a good deal at all. Come on Amazon you can do better than this.,28 February 2017
150,Zoe,"Over-priced, as my eyesight is failing me due to ...",1.0,"Over-priced, as my eyesight is failing me due to illness, seems I am being penalized, get your free book, then cancel",2 November 2016
151,gman,One Star,1.0,amazom are you seeing these reviews?  one book for 7.99 are you mad ?,11 April 2017
152,Michael J Evans,A free book with a catch - you are signing up for a poor monthly deal,1.0,I was tempted by the offer of a free book but as you look more closely you are actually signing up for just one book a month for £7.99 a month.I use Amazon but think they have got this pricing completely wrong and I will not be taking up their offer.,10 January 2017
153,Dr. Tommi Karjalainen,"Great quality, too expensive",2.0,"The books I've purchased have been high quality. Some of them really long and totally worth the price. However, the subscription is too expensive. On the other hand, by joining Audible I was able to purchase some really good and useful books.",30 August 2016
154,Garym213,Good idea but priced too high considering the one book limit.,1.0,"In principle, a service like this should supply measureable value at a fair price. The value of an audio book is high, the problem is that the price of subscription (considering you can only get one book per month) is simply not fair nor reasonable. My suggestion is that the subscription includes a number of books, perhaps on a leased basis, much like a video. Who really wants to ""own"" an audio book? If the person opts for ownership they should pay a premium for that book. The cost of the subscription with the limit of one book is just not a good deal.",26 December 2016
155,Eider Jane,Not interested at all at that price.,1.0,Not interested at all at that price.  I wish they would stop sending me information about it.,22 December 2016
156,P COLE,Money taken despite trying to cancel for a year,1.0,I have been paying fo a year now and cant see how to cancel my order - it says phone but no phone number os publishedI tried to cancel each moth but they still keep taking my moneyHELP,17 April 2017
157,laura,Books won't download - Frustrating,1.0,"It dosent work. I have been trying up download my free book toon the 30 day trial since yesterday and haven't been able to. Customer service was no help at all, saying that there have been lots of issues recently and their technicians are working on it, but gave me no idea of when it will be fixed. Meanwhile 30 day trial is passing by without me being able to listen to the book I wanted.",28 August 2018
158,Amazon Customer,Price must be a joke,1.0,"In Sweden we have unlimited audio book listening for 169sek (~£ 20) per month. This is considered Extremely expensive (since for example netflix with unlimited watching is ~£10, why should listening be £20??), but at least there are perfect offline modes, quite many books available and very good apps with no bugging.Actually the Swedish national library also provides the same service but without offline mode. I e, you can listen for free to a huge stock while on wifi or if you have a lot of surf included with your phone.Here you get ONE BOOK ?!?!?! For £8??? That is insane.",24 September 2016
159,NewTech,Useful but expensive.,2.0,"Audible is a really good idea especially if you have poor or no sight. I have to agree with others though about it being expensive for one book a month. If Amazon could offer this app for perhaps half this price they might get a few more subscribers.I currently am able to use Overdrive, (available in Play Store), and can download free books from my local library.",15 January 2017
160,Abbie,Great,4.0,"I have anxiety which means I have trouble sleeping but found audiobooks really help me get to sleep. I'm also a student and audiobooks are ridiculously expensive so I decided to join audible - it's great, for the price a month you can listen to books that cost over £20 to buy normally and they're all saved in your library so you can listen again. Wish we got 2 credits per month though, 1 is not enough if you listen every day",3 April 2016
161,Kate,Absolutely love Audible!!,5.0,"I absolutely love audible. I listen when I'm doing house work, when I'm in the car, when I'm on the train, absolutely every chance I get!  It's extremely user friendly and very good value for money. The only thing is, 1 credit per month is not enough for me, they should do several options at different prices, something like 2 credits per month for say, £13 and so on...",20 June 2016
162,Kindle Customer,It's too expensive to use and for some reason I've ...,1.0,It's too expensive to use and for some reason I've been charged 3 times in 1 month and I wish to end my subscription now.  This experience leaves a lot to be desired as I prefer to read books rather than listen to them. H Wilson,8 June 2018
163,Ana H,Rip Off,1.0,"I tried the trial and the one ""free"" audiobook itself was great but at £8 per month thereafter it's a complete rip off. Amazon needs to allow unlimited audiobooks to be downloaded and to give Prime members a discount. You can do better Amazon. Don't rip off loyal customers. You are not invincible as a company.",23 January 2018
164,Night Owl 😴😴🌛,Too Expensive,1.0,Too expensive would rather have a copy of the book for same price or cheaper !!,5 November 2018
165,Charles H.,More for less at your library.,1.0,"For less than £96.88 per year to listen to twelve books your local library will let you take out as many as you can manage in a year. I used to take four a week, listen to them while working and then swap for more. I also got to meet people as well. Go on, get to the library and keep it running.",23 April 2017
166,Mr J A Gosling,Too Expensive for what you get.,1.0,"Too expensive for 1 book per month.I would rather buy the books I want separately for this price from I tunes even if the book cost more, the overall cost is less.",26 February 2017
167,Busy Lizzie,Very glad I joined Audible,5.0,"Can be a bit expensive thanks to VAT but the free monthly download helps. Otherwise a great selection of books, easy to use and a fantastic resource especially for my dyslexic daughter who now knows the pleasure of a good book!",5 June 2016
168,Neil,"not for first month or anything like that, but forever",1.0,"No, no, no. The price/offer is a total mismatch and it seems I'm not alone in thinking that. Either drop the price to about £2/3 a month OR offer three audiobooks a month instead of one. You'd get through one in a week, especially if you spend lot of time sitting in traffic or travelling by tube/train. I'm really interested in an Audible membership, but what Amazon offers just doesn't add up. I'm already a Prime member - here's an idea: Prime members get 50% discount, not for first month or anything like that, but forever. We already paid quite an amount to be Prime members - throw us a bone, Amazon.",28 May 2017
169,Amazon Customer,One Star,1.0,Was seriously thinking about this until I saw the price !!! Daylight robbery,8 June 2017
170,Terrie,Audible worth every penny,5.0,"I have always been a great reader but decided to try Audible as I am having eye problems . Really have enjoyed listening to Audibile . Have just finished listening to The Kite Runner and a  Thousand Splendid Suns by Khaled Hosseini , truly brilliant . These are just two of the books I have purchased and hope to listen to any more .",8 May 2016
171,Gaarghoile,Not Audible ..not reponsive ....,1.0,I am very hard of hearing and try to disregard these adverts but they do annoy me immensly because I have no reliable means of stopping them,19 June 2017
172,Mr. R. A. Heron,Should be free,1.0,"Poor show, should be free for prime with option to upgrade number of books a month for £",8 January 2017
173,Charles Allen,Doesn't come close to my expectations,1.0,"Complete lock-in, especially inability to listen to books on my smaller older iPod Nano during runs is a huge disadvantage. Windows app looks like it was written in the 90s. I just managed to have to delete the same book twice, and it still wasn't actually deleted because you have to clear an Audible specific trash can (where the book appeared twice!!). Lack of integration with Amazon site and the fact the Audible library is not under account is unnecessarily confusing. Completely put off.",11 April 2016
174,clare brady,Great idea but far too expensive,1.0,"I so love the idea of this! It's great to use when running, driving and gardening. However, the prices for the audiobooks are so expensive, making it not affordable for me.",11 June 2020
175,Amazon Customer,Waste of time,1.0,"This is a con. The email offered a free audiobook, not a free trial. This is not a special offer, everyone knows you can get a free trial from audible. Waste of time.",12 March 2017
176,Dean Bradley,Overpriced,1.0,Would be really good if not for the price.  When a CD costs £5 and the Audible version costs £18 it becomes clear that Audible is overpriced.,6 March 2016
177,Miguel A. G. Otalora,An Audible Price,1.0,"It's hard to understand why anyone would pay £7.99 just for access and a mere audiobook a month. KindleUnlimited, owned by Amazon as well, offers a range of Kindle Books; the ones that aren't part of the Unlimited Collection have to be purchased at standard price - the same concept should apply for Audible. What's been offered here at table is £7.99 of bitterness and false expectations.",17 July 2018
178,BeckyP,Fab service,4.0,"I love audible and often fall asleep listening to an audio book, the downside is the recorded message at the beginning and end of each book. It's really annoying to have gone to sleep listening to relaxing sounds or sleep hypnosis only to have ""audible thanks for listening"" screamed in your ear to wake you up with a start.... other than that it's a fab service, the app is easy to use and the books are easy to purchase and download.",5 June 2016
179,Jason B,Too expensive,1.0,Just looked into getting this but reading the reviews below has put me right off. Didn't realise it's just for 1 book per month!?,22 June 2017
180,Martyn,I like audiobooks especially of the horror type but was unhappy ...,3.0,I like audiobooks especially of the horror type but was unhappy with a billing error whereupon i was offered 3 months special offer but was charged ordinary full rate.Now we all know mistakes happen but customer services could not see my account info as i was looking at it on screen where it clearly said special offer so something amiss there.I was refunded and moved to the special offer but good job i check my bank online daily.The audiobooks at one per month are ok.....if you like audiobooks and have a good idea of what your after otherwise just buy them when you want one.,8 June 2016
181,Hummingbird,too expensive,1.0,"I love the idea of this and would go forward with it except i think the price is too steep.  £7.99 per month for one book is a lot.  A lot of kindle books are much less than this in price and the kindle can be used to listen to the book in audio, so i do not see any advantage to attract me to this offer.  Amazon i think you can do much better than this, perhaps it could be reduced to prime members or full price to not prime members.  Either way needs to be better price before i would go forward with this purchase.",2 November 2016
182,Donakebab,Too expensive,1.0,Poor £7.99 a month for one book! Was thinking of recommending to a friend who is blind but too expensive,22 January 2017
183,h taylor,Too expensive,1.0,Great concept but way too expensive for only 1 book per month !,26 April 2020
184,GH.,Pile it High....Sell it Cheap. (Nat Cohen......founder of Tesco),2.0,Thanks for the offer of a free download but too expensive follow up deal........,5 February 2017
185,Sarah G,To expensive,1.0,I think this deal is way to expensive 1 book per month for £7.99 I can easily read 8 books a month easily,12 March 2017
186,Ann Field,Two Stars,2.0,Too expensive £100 per year too much to pay for a book a month.No thanks Amazon!!,3 April 2016
187,Rosie London,Cancelling - too much like hard work if you don't have a Kindle device,1.0,"Cancelling mine after just 24 hours of sheer frustration - none of the downloads work easily unless you only want to use them on a Kindle device, otherwise all unnecessarily complex in order to get anything to work. I am sure there are much easier ways to do this - but them Amazon would not be able to dominate the market????",29 August 2015
188,Caroline McKenzie,Agree with other. Only one book per month.,2.0,Agree with other.  Only one book per month.  Should be unlimited access,26 February 2017
189,barney,Too dear for me,3.0,Very expensive but that aside they have a good selection of books and you can return an unwanted book and choose another one. I will leave at the end of my contract.,31 December 2017
190,Bryan James,- I'm really glad I joined Audible,5.0,"As a big fan of audiobooks - often as an aid to sleep! - I'm really glad I joined Audible.They have a huge selection of books on all subjects.What I like most is that if you are not enjoying a book (which happens) you can return it and choose another.Try it free for a month and if you aren't convinced, you don't have to pay anything.",31 July 2016
191,roo1980,One Star,1.0,Too expensive,27 December 2016
192,Jay,Beware impossible to stop them taking money from you!,1.0,"No way of cancelling this supposedly cancel anytime!! Price is high, got to pay for the books I actually want to read!!!",17 June 2017
193,Glen,Rip off pricing,1.0,Trial never worked but now get constant emails to join but at £7.99 a month for just one download then no way!,30 October 2016
